Time,Power,Class
1224,0.072,macbook air
1225,0.051,macbook air
1226,0.078,macbook air
1227,0.06,macbook air
1228,0.075,macbook air
1229,0.06,macbook air
1230,0.054,macbook air
1231,0.054,macbook air
1232,0.051,macbook air
1233,0.063,macbook air
1234,0.081,macbook air
1235,0.114,macbook air
1236,0.147,macbook air
1237,0.117,macbook air
1238,0.054,macbook air
1239,0.081,macbook air
1240,0.075,macbook air
1241,0.075,macbook air
1242,0.051,macbook air
1243,0.084,macbook air
1244,0.075,macbook air
1245,0.075,macbook air
1246,0.099,macbook air
1247,0.111,macbook air
1248,0.09,macbook air
1249,0.072,macbook air
1250,0.078,macbook air
1251,0.087,macbook air
1252,0.072,macbook air
1253,0.081,macbook air
1254,0.072,macbook air
1255,0.075,macbook air
1256,0.075,macbook air
1257,0.051,macbook air
1258,0.081,macbook air
1259,0.069,macbook air
1260,0.066,macbook air
1261,0.078,macbook air
1262,0.066,macbook air
1263,0.069,macbook air
1264,0.066,macbook air
1265,0.066,macbook air
1266,0.063,macbook air
1267,0.057,macbook air
1268,0.048,macbook air
1269,0.072,macbook air
1270,0.042,macbook air
1271,0.051,macbook air
1272,0.048,macbook air
1273,0.051,macbook air
1274,0.045,macbook air
1275,0.042,macbook air
1276,0.048,macbook air
1277,0.048,macbook air
1278,0.048,macbook air
1279,0.048,macbook air
1280,0.045,macbook air
1281,0.051,macbook air
1282,0.066,macbook air
1283,0.063,macbook air
1284,0.066,macbook air
1285,0.057,macbook air
1286,0.06,macbook air
1287,0.06,macbook air
1288,0.057,macbook air
1289,0.057,macbook air
1290,0.063,macbook air
1291,0.066,macbook air
1292,0.066,macbook air
1293,0.045,macbook air
1294,0.051,macbook air
1295,0.057,macbook air
1296,0.048,macbook air
1297,0.048,macbook air
1298,0.06,macbook air
1299,0.057,macbook air
1300,0.06,macbook air
1301,0.054,macbook air
1302,0.042,macbook air
1303,0,None
1304,0.054,macbook air
1305,0.063,macbook air
1306,0.069,macbook air
1307,0.087,macbook air
1308,0.072,macbook air
1309,0.066,macbook air
1310,0.054,macbook air
1311,0.057,macbook air
1312,0.057,macbook air
1313,0.06,macbook air
1314,0.057,macbook air
1315,0.057,macbook air
1316,0.066,macbook air
1317,0.072,macbook air
1318,0.069,macbook air
1319,0.06,macbook air
1320,0.063,macbook air
1321,0.066,macbook air
1322,0.078,macbook air
1323,0.078,macbook air
1324,0.066,macbook air
1325,0.057,macbook air
1326,0.069,macbook air
1327,0.072,macbook air
1328,0.063,macbook air
1329,0.075,macbook air
1330,0.057,macbook air
1331,0.072,macbook air
1332,0.069,macbook air
1333,0.057,macbook air
1334,0.063,macbook air
1335,0.084,macbook air
1336,0.078,macbook air
1337,0.081,macbook air
1338,0.087,macbook air
1339,0.096,macbook air
1340,0.102,macbook air
1341,0.114,macbook air
1342,0.102,macbook air
1343,0.102,macbook air
1344,0.099,macbook air
1345,0.093,macbook air
1346,0.099,macbook air
1347,0.084,macbook air
1348,0.084,macbook air
1349,0.078,macbook air
1350,0.087,macbook air
1351,0.084,macbook air
1352,0.084,macbook air
1353,0.081,macbook air
1354,0.09,macbook air
1355,0.093,macbook air
1356,0.09,macbook air
1357,0.093,macbook air
1358,0.075,macbook air
1359,0.087,macbook air
1360,0.084,macbook air
1361,0.069,macbook air
1362,0.075,macbook air
1363,0.069,macbook air
1364,0.102,macbook air
1365,0.096,macbook air
1366,0.078,macbook air
1367,0.117,macbook air
1368,0.096,macbook air
1369,0.096,macbook air
1370,0.093,macbook air
1371,0.099,macbook air
1372,0.093,macbook air
1373,0.084,macbook air
1374,0.087,macbook air
1375,0.084,macbook air
1376,0.108,macbook air
1377,0.099,macbook air
1378,0.09,macbook air
1379,0.081,macbook air
1380,0.108,macbook air
1381,0.087,macbook air
1382,0.072,macbook air
1383,0.093,macbook air
1384,0.093,macbook air
1385,0.09,macbook air
